keyword,cluster,country,city,language,intent,funnel_stage,search_volume,cpc,keyword_difficulty,serp_type,current_ranking,current_url,proposed_url,primary_secondary,opportunity_score,priority,page_type,evidence_source,confidence,notes
b2b saas seo agency,b2b-saas-seo,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic-listicles+agencies,not verified in GSC,,/services/seo/,primary,82,Now,service,autocomplete "b2b saas seo agency" full suggestion chain (b2b saas seo services/best b2b saas seo agency/b2b saas seo consultants/top b2b saas seo agencies),high,Autocomplete head term for the strongest existing credibility area; DDG SERP shows listicles (SeoProfy/MADX/redseo) + agencies (Skale/Virayo/DerivateX); listicle dominance means direct ranking hard for new domain but long-tail variants attainable
b2b saas seo services,b2b-saas-seo,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,/services/seo/,secondary,78,Now,service,autocomplete (seed b2b saas seo agency),high,Plural service phrase; natural fit for service page H2 copy
saas seo agency in india,b2b-saas-seo,IN,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies+directories,not verified in GSC,,/services/seo/ (India paragraph),secondary,74,Now,service,autocomplete (seed seo agency in india for saas -> saas seo agency in india),high,India-market modifier; honest remote-service framing; existing b2b-saas-demand-generation-budget-india insight shows India credibility
b2b saas seo consultant,b2b-saas-seo,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic consultancies,not verified in GSC,,/services/seo/,secondary,72,Next,service,autocomplete (best b2b saas seo consultants),high,Consultant variant; founder-led framing suits this better than agency framing
best seo agencies for b2b saas,b2b-saas-seo,global,,en,commercial-investigation,bottom,unavailable,unavailable,high,listicle-dominated,not verified in GSC,,—,reject,30,Reject,comparison,autocomplete (seed seo agency for b2b saas),high,Rejected: SERP dominated by listicles/directories (SeoProfy/derivatex/madx/growth.cx/redseo captured in DDG); earn third-party presence instead per authority plan; self-serving listicle violates operating rules
seo agency for b2b saas,b2b-saas-seo,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic mixed,not verified in GSC,,/services/seo/,secondary,70,Next,service,autocomplete (seed seo agency for b2b saas -> suggestions returned),high,Word-order variant; covered by same page naturally
ai seo agency,ai-seo-agency,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,/services/ai-search-visibility/,primary,80,Now,service,autocomplete full chain incl. city variants (mumbai/noida/london/singapore/delhi/melbourne/uk),high,Autocomplete demand confirmed across geographies; site's flagship differentiator; DDG shows mix of tools+agencies competing; page must be titled with service phrase not diagnostic phrase
ai seo agency in mumbai,ai-seo-agency,IN,Mumbai,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,—,reject,45,Later,city,autocomplete (ai seo agency chain),high,Rejected for now: city pages gated until service page proves rankings; Mumbai candidate #2 in city analysis
ai seo agency in noida,ai-seo-agency,IN,Noida,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,—,reject,42,Later,city,autocomplete (ai seo agency chain),high,Same gate as Mumbai
ai seo services,ai-seo-agency,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,/services/ai-search-visibility/,secondary,75,Now,service,autocomplete (chatgpt seo services chain -> ai seo services),high,Service-phrase variant of the cluster
chatgpt seo services,ai-seo-agency,IN,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,/services/ai-search-visibility/,secondary,73,Now,service,autocomplete full chain (chatgpt seo services in india/chatgpt seo company),high,India-modified demand visible in autocomplete; existing how-to-rank-and-get-recommended-by-ai insight provides supporting content
aeo agency,aeo-geo,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies,not verified in GSC,,/services/ai-search-visibility/ (AEO framing),secondary,71,Now,service,autocomplete full chain (aeo agency in india/uk/usa/sydney/dubai/melbourne/mumbai),high,Established acronym with India+global variants; use within page copy and FAQ not as primary (primary stays ai seo agency)
geo agency for b2b saas,aeo-geo,global,,en,commercial-investigation,bottom,unavailable,unavailable,low-medium,organic agencies,not verified in GSC,,/services/ai-search-visibility/,secondary,68,Now,service,autocomplete (geo agency for b2b saas + best geo agency for b2b saas),high,Narrow long-tail; low competition; perfect for FAQ section of AI visibility service page
generative engine optimization agency,aeo-geo,global,,en,commercial-investigation,bottom,unavailable,unavailable,medium,organic agencies+listicles,not verified in GSC,,/services/ai-search-visibility/,secondary,69,Next,service,autocomplete full chain (in india/bangalore/malaysia/uk/company variants),high,Full-phrase variant; India demand visible
