section,input_or_check,working_case,downside_case,upside_case,unit_or_formula,evidence_source,owner,confidence,review_rule
TARGET,target_new_arr,,,,INR,"Board-approved target",Finance,,
TARGET,average_new_logo_arr,,,,INR,"Observed new-logo cohort",Revenue operations,,
TARGET,required_new_customers,,,,"target_new_arr / average_new_logo_arr","Calculated",Finance,,
ECONOMICS,gross_margin,,,,percent,"Finance definition",Finance,,
ECONOMICS,maximum_payback_months,,,,months,"Finance policy",Finance,,
ECONOMICS,approved_cac_ceiling,,,,INR,"Contribution and payback model",Finance,,
FUNNEL,held_meeting_to_win_rate,,,,percent,"Named cohort and window",Sales operations,,
FUNNEL,show_rate,,,,percent,"Calendar and CRM",Revenue operations,,
FUNNEL,qualified_response_to_booking_rate,,,,percent,"Form and calendar join",Marketing operations,,
FUNNEL,required_held_meetings,,,,"required_new_customers / held_meeting_to_win_rate","Calculated",Sales,,
FUNNEL,required_bookings,,,,"required_held_meetings / show_rate","Calculated",Revenue operations,,
FUNNEL,required_qualified_responses,,,,"required_bookings / qualified_response_to_booking_rate","Calculated",Marketing,,
BUDGET,maximum_acquisition_spend,,,,"required_new_customers * approved_cac_ceiling","Calculated",Finance,,
BUDGET,measurement_and_crm_qa,,,,INR,"Scoped cost",Marketing operations,,
BUDGET,offer_creative_landing_work,,,,INR,"Scoped cost",Marketing,,
BUDGET,media_and_distribution,,,,INR,"Channel plan",Demand generation,,
BUDGET,learning_reserve,,,,INR,"Board-approved reserve",Finance,,
BUDGET,total_programme_budget,,,,"sum of programme lines","Calculated",Finance,,
GATE,buyer_access_score,,,,0-2,"Targeting or distribution evidence",Demand generation,,
GATE,intent_match_score,,,,0-2,"Buyer research and observed queries",Marketing,,
GATE,offer_readiness_score,,,,0-2,"Accepted offer and proof",Product marketing,,
GATE,measurement_score,,,,0-2,"Source-to-CRM QA",Marketing operations,,
GATE,sales_capacity_score,,,,0-2,"Available meeting and follow-up capacity",Sales,,
GATE,learning_density_score,,,,0-2,"Expected activity against pre-committed review",Analytics,,
REVIEW,stop_or_repair_condition,,,,text,"Pre-committed before launch",Programme owner,,
