query,engine,capture_date,serp_position,ranking_domain,ranking_url,page_type,title_observed,word_count_estimate,service_specificity,local_evidence,case_studies,reviews,pricing_visibility,faqs,structured_data_observed,cta,content_weakness,information_gain_opportunity
b2b saas seo agency,DuckDuckGo (proxy),2026-09-01,1,seoprofy.com,seoprofy.com/blog/top-b2b-seo-agencies/,listicle,"Top 12 B2B SEO Agencies for 2026",~2000,high (category definitions),none,agency self-cases mentioned in method note,platform reviews referenced,partial (mentions pricing transparency criterion),no,unknown,"Compare options faster",Method explained but no client-outcome evidence standard; agencies summarised in one line each,DataDecision can publish an honest selection scorecard + evidence-request pack (already planned as insight) — but NOT a self-listing; the information gain for the SERVICE page is: dated sampling method + measurement-first proof standard competitors don't offer
b2b saas seo agency,DuckDuckGo,2026-09-01,3,derivatex.agency,derivatex.agency/saas-seo-agency/,agency service page,"B2B SaaS SEO Agency | Google Rankings + AI Search Visibility",~1500,high,none,claims only,"trusted by" style claims,none visible,no,unknown,book call,Covers Google+AI-cited positioning — direct competitor template; no methodology transparency or honest-limitations framing,Measurement-first positioning + published methodology v0.3 + honest FAQ (no guarantees) is a genuine trust differentiator vs claims-heavy copy
b2b saas seo agency,DuckDuckGo,2026-09-01,5,madx.digital,madx.digital/learn/saas-seo-agencies,categorised listicle,"10 Best SaaS SEO Agencies in 2026 (By Category)",~1800,high,none,brief mentions,none,none,no,unknown,direct to agency,Category framing (content/technical/links) is useful but no decision framework,DataDecision's aeo-geo-vendor-due-diligence insight already provides buyer-side due diligence; link them
b2b saas seo agency,DuckDuckGo,2026-09-01,6,virayo.com,virayo.com/saas-seo,agency service page,"B2B SaaS SEO Agency Focused On Revenue Growth (See Results)",~2000,high,none,"100+ B2B SaaS companies" claim,platform reviews,none,no,unknown,book call,"See Results" with unverifiable aggregate claims,Honest counter-positioning: publish claim rules instead of results claims; appeal to cautious buyers
b2b saas seo agency,DuckDuckGo,2026-09-01,7,skale.so,skale.so/saas-seo-agency/,agency service page,"SaaS SEO Agency That Drives Revenue Growth & Conversions",~1500,high,none,client logos implied,platform reviews,none,no,unknown,book call,MRR-over-clicks positioning similar to DataDecision's decision-first framing but without methodology transparency,Methodology page + dated work ledger (work/ records) are existing assets no competitor in this SERP shows
how to appear in chatgpt recommendations,DuckDuckGo,2026-09-01,1,seo.com,seo.com/ai/how-to-appear-in-chatgpt-answers/,guide,"How to Appear in ChatGPT Answers: 6 Tips for Businesses",~2500,medium,none,none,none,none,no,unknown,newsletter,Generic tips; no observation protocol or volatility treatment,DataDecision existing insight (how-to-rank-and-get-recommended-by-ai) is method-grade: query framing; dated samples; access checks; referral measurement — retitle to the question and win on rigour
how to appear in chatgpt recommendations,DuckDuckGo,2026-09-01,4,citaition.io,citaition.io/blog/how-to-appear-in-chatgpt-recommendations,guide,"How to Appear in ChatGPT Recommendations: What Our Research Shows",~2000,medium,none,research-based claims,none,none,no,unknown,tool signup,"What our research shows" — but no published method detail,The site's methodology v0.3 publishes the exact observation rules — a real answer to "most advice is speculation"
how to appear in chatgpt recommendations,DuckDuckGo,2026-09-01,9,impactplus.com,impactplus.com/learn/how-to-get-recommended-by-chatgpt,guide,"How to Get Your Business Found and Recommended on ChatGPT",~1500,medium,none,none,none,none,no,unknown,agency CTA,Generic
ai visibility audit service,DuckDuckGo,2026-09-01,1,aivisitaudit.com,aivisitaudit.com,tool/audit service,"AI Visibility Audit — Is AI Recommending Your Business?",~800,medium,none,none,none,free audit offered,yes,unknown,free audit,Tool-first; no method transparency,DataDecision offers free browser tools + a dated-audit methodology; comparison table of what a real audit must include = information gain
ai visibility audit service,DuckDuckGo,2026-09-01,4,ahrefs.com,ahrefs.com/blog/ai-visibility-audit/,guide (high authority),"AI Visibility Audit: How to Measure Your Brand's Presence",~3000,medium,none,none,platform authority,none,yes,unknown,tool trial,Comprehensive but product-led (Ahrefs tooling),Cite-worthy educational SERP; DataDecision should link/cite and differentiate on multi-engine sampling + CRM join, not re-explain basics
